# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan  6 15:15:44 2017
#
# CONSTRAINT:  where (k2c_disp like 'C%'
# CONSTRAINT:  and k2c_recentflag = 1
# CONSTRAINT:  )
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini
121,EPIC 201613023,2MASS J11324609+0214415,EPIC 201613023.01,K2-12 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h32m46.09s,173.192036,+02d14m41.6s,2.244884,8.28176000,2456815.374300,,0.1742000,,,,1.87000,2.720,0.243,,,,6177.00,4.28,,,1.31,
125,EPIC 201617985,2MASS J11575801+0219172,EPIC 201617985.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h57m58.00s,179.491659,+02d19m17.3s,2.321476,7.28138000,2456812.639900,,0.0550000,,,,41.00000,17.000,1.500,,,,3784.00,4.88,,,0.40,
126,EPIC 201626686,2MASS J11174730+0227217,EPIC 201626686.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h17m47.30s,169.447103,+02d27m21.6s,2.456006,5.28130579,2456817.633963,0.074000,3.5520000,,,,,,,,,,,,,,,
129,EPIC 201629650,2MASS J11203732+0230097,EPIC 201629650.01,K2-13 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h20m37.33s,170.155528,+02d30m09.7s,2.502696,40.06030000,2456812.525900,,0.2642000,,,,2.26000,2.700,0.241,,,,5727.00,4.33,,,1.09,
131,EPIC 201635569,2MASS J11521368+0235390,EPIC 201635569.01,K2-14 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h52m13.69s,178.057026,+02d35m39.3s,2.594245,8.36926000,2456811.445300,,0.0867000,,,,10.66000,4.480,0.400,,,,3866.00,4.89,,,0.39,
135,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,K2-22 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h17m55.88s,169.482818,+02d37m08.7s,2.619070,1.14320100,2456809.216780,,0.0271200,,,,7.10000,3.000,0.268,,,,3865.00,4.89,,,0.38,
136,EPIC 201637175,2MASS J11175587+0237086,EPIC 201637175.01,HATS-14 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CONFIRMED,,1,1,11h17m55.88s,169.482818,+02d37m08.7s,2.619070,0.38107852,2456810.358000,0.558000,0.0304167,0.5000,,,0.07119,4.610,0.411,,,,3892.00,,,,0.57,
137,EPIC 201647718,2MASS J11141982+0246508,EPIC 201647718.01,K2-47 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h14m19.82s,168.582603,+02d46m50.6s,2.780711,31.63720000,2456825.703000,,0.1667000,,,,2.29000,1.890,0.169,,,,5054.00,4.54,,,0.76,
140,EPIC 201649426,2MASS J11485622+0248275,EPIC 201649426.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h48m56.22s,177.234262,+02d48m27.4s,2.807619,27.77038800,2456821.348000,10.600000,0.1308333,0.7700,,,0.37220,25.100,2.239,,,,4598.00,,,,0.71,
142,EPIC 201650711,2MASS J11281055+0249370,EPIC 201650711.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016arXiv160306488A target=ref>Adams et al. 2016</a>,CANDIDATE,,1,1,11h28m10.57s,172.044052,+02d49m36.8s,2.826891,0.25966900,2456885.225820,,,,82.100,3.100000,0.01020,0.770,0.069,,,,4340.00,4.25,-0.810,[Fe/H],0.69,
143,EPIC 201677835,2MASS J11442963+0316205,EPIC 201677835.01,K2-48 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h44m29.65s,176.123545,+03d16m20.7s,3.272425,20.50650000,2456817.485900,,0.1254000,,,,2.80000,2.240,0.200,,,,4899.00,4.60,,,0.73,
145,EPIC 201683540,2MASS J11165158+0321497,EPIC 201683540.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h16m51.59s,169.214964,+03d21m49.9s,3.363874,1.96114690,2456812.176000,0.727000,0.0554167,0.7800,,,0.08768,5.930,0.529,,,,4166.00,,,,0.64,
146,EPIC 201690311,2MASS J11491686+0328318,EPIC 201690311.01,K2-49 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h49m16.85s,177.320206,+03d28m32.0s,3.475569,2.77065000,2456810.020300,,0.0961300,,,,3.83000,1.930,0.172,,,,4175.00,4.81,,,0.45,
149,EPIC 201702477,2MASS J11405777+0340535,EPIC 201702477.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h40m57.79s,175.240794,+03d40m53.7s,3.681584,40.73020000,2456811.569100,,0.1104000,,,,7.19000,7.800,0.700,,,,5840.00,4.44,,,0.98,
150,EPIC 201705526,2MASS J11293259+0343555,EPIC 201705526.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h29m32.59s,172.385808,+03d43m55.6s,3.732106,18.10220826,2456831.496598,0.780000,4.5210000,,,,,,,,,,,,,,,
154,EPIC 201713348,2MASS J11174778+0351590,EPIC 201713348.02,K2-36 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h17m47.78s,169.449073,+03d51m59.0s,3.866393,1.42264700,2456827.962300,,0.0436200,,,,1.76000,1.450,0.129,,,,4953.00,4.60,,,0.75,
155,EPIC 201713348,2MASS J11174778+0351590,EPIC 201713348.01,K2-36 c,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h17m47.78s,169.449073,+03d51m59.0s,3.866393,5.34107237,2456818.146345,0.163000,-0.0680000,,,,,,,,,,,,,,,
156,EPIC 201717159,2MASS J11534476+0355559,EPIC 201717159.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h53m44.76s,178.436482,+03d55m55.9s,3.932202,0.60408352,2456810.836000,0.096300,0.0404167,0.3800,,,0.02829,2.260,0.202,,,,4331.00,,,,0.67,
158,EPIC 201717274,2MASS J11351872+0356028,EPIC 201717274.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h35m18.66s,173.827767,+03d56m03.0s,3.934155,3.52743000,2456809.908600,,0.0554000,,,,3.89000,1.110,0.099,,,,3624.00,5.01,,,0.26,
160,EPIC 201736247,2MASS J11522658+0415171,EPIC 201736247.01,K2-15 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h52m26.59s,178.110797,+04d15m17.1s,4.254747,11.80970000,2456811.850900,,0.1050000,,,,3.30000,2.840,0.253,,,,5314.00,4.57,,,0.78,
163,EPIC 201754305,2MASS J11402333+0433264,EPIC 201754305.01,K2-16 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h40m23.34s,175.097258,+04d33m26.4s,4.557340,19.07700000,2456809.483500,,0.1254000,,,,2.99000,2.190,0.195,,,,4800.00,4.63,,,0.67,
164,EPIC 201754305,2MASS J11402333+0433264,EPIC 201754305.02,K2-16 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h40m23.34s,175.097258,+04d33m26.4s,4.557340,7.61856000,2456811.687600,,0.0933000,,,,2.68000,1.960,0.175,,,,4800.00,4.63,,,0.67,
168,EPIC 201779067,2MASS J11141025+0459173,EPIC 201779067.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h14m10.25s,168.542699,+04d59m17.3s,4.988131,27.27048734,2456820.230977,3.413000,6.7480000,,,,,,,,,,,,,,,
172,EPIC 201785059,2MASS J11224742+0505433,EPIC 201785059.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h22m47.44s,170.697657,+05d05m43.3s,5.095361,1.39533316,2456814.384286,0.054000,1.1800000,,,,,,,,,,,,,,,
173,EPIC 201828749,2MASS J11423704+0553394,EPIC 201828749.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h42m37.04s,175.654342,+05d53m39.6s,5.894323,33.51070000,2456813.158200,,0.2204000,,,,2.17300,2.140,0.191,,,,5683.00,4.50,,,0.90,
177,EPIC 201833600,2MASS J11175607+0559183,EPIC 201833600.01,K2-50 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h17m56.07s,169.483631,+05d59m18.2s,5.988378,8.75290000,2456810.331100,,0.1117000,,,,2.64000,1.590,0.142,,,,4326.00,4.74,,,0.55,
178,EPIC 201841433,2MASS J11404960+0608054,EPIC 201841433.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h40m49.63s,175.206771,+06d08m05.5s,6.134857,12.33913300,2456819.824000,0.107000,0.1183333,0.0900,,,0.02881,2.590,0.231,,,,4751.00,,,,0.73,
179,EPIC 201855371,2MASS J11531915+0624439,EPIC 201855371.01,K2-17 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h53m19.15s,178.329775,+06d24m44.1s,6.412261,17.96540000,2456817.952500,,0.1150000,,,,2.90000,1.530,0.136,,,,4102.00,4.80,,,0.48,
183,EPIC 201862715,2MASS J11433800+0633494,EPIC 201862715.01,WASP-85 A b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h43m38.01s,175.908380,+06d33m49.4s,6.563726,2.65662719,2456818.248569,1.459000,3.0250000,,,,,,,,,,,,,,,
188,EPIC 201912552,2MASS J11301450+0735180,EPIC 201912552.01,K2-18 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h30m14.51s,172.560460,+07d35m18.2s,7.588391,32.92801934,2456836.179795,0.354000,3.7760000,,,,,,,,,,,,,,,
191,EPIC 201920032,2MASS J11362567+0745112,EPIC 201920032.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h36m25.66s,174.106908,+07d45m11.2s,7.753113,28.26920000,2456833.204100,,0.1771000,,,,2.36000,3.350,0.299,,,,5631.00,4.20,,,1.29,
192,EPIC 201923289,2MASS J11394092+0749332,EPIC 201923289.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h39m40.93s,174.920526,+07d49m33.2s,7.825885,0.78214992,2456810.377000,0.022600,0.0545833,0.0000,,,0.01346,1.290,0.115,,,,5144.00,,,,0.79,
193,EPIC 201927336,2MASS J11234414+0755015,EPIC 201927336.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h23m44.16s,170.933987,+07d55m01.5s,7.917097,6.44986480,2456811.942000,0.081400,0.0679167,0.1000,,,0.02570,2.630,0.235,,,,5395.00,,,,0.85,
198,EPIC 202064253,2MASS J06060100+2253303,EPIC 202064253.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h06m01.02s,91.504230,+22d53m30.3s,22.891760,21.14057400,2456777.994000,5.010000,0.1929167,0.8300,,,0.24990,31.500,2.810,,,,6205.00,,,,1.29,
199,EPIC 202066192,2MASS J06205938+2607313,EPIC 202066192.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h20m59.39s,95.247450,+26d07m31.4s,26.125380,3.29238180,2456774.826000,0.924000,0.0733333,0.9000,,,0.10530,19.600,1.749,,,,7824.00,,,,1.87,
200,EPIC 202066537,2MASS J06570390+1837365,EPIC 202066537.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h57m03.85s,104.266030,+18d37m36.3s,18.626740,6.90487000,2456768.191900,,0.1462000,,,,34.00000,53.000,4.700,,,,6599.00,4.24,,,1.45,
202,EPIC 202071289,2MASS J06204394+2454156,EPIC 202071289.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h20m43.94s,95.183090,+24d54m15.6s,24.904340,3.04622000,2456768.262800,,0.1062000,,,,30.00000,29.000,2.600,,,,5529.00,4.50,,,0.89,
205,EPIC 202071401,2MASS J06413069+2055222,EPIC 202071401.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h41m30.71s,100.377970,+20d55m22.1s,20.922810,3.23670000,2456769.001900,,0.0508000,,,,1.96000,1.580,0.141,,,,4863.00,4.60,,,0.74,
206,EPIC 202071635,2MASS J06141723+1837373,EPIC 202071635.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h14m17.23s,93.571810,+18d37m37.3s,18.627020,6.27190920,2456775.430000,9.290000,0.2216667,0.8500,,,0.37330,60.000,5.353,,,,7254.00,,,,1.81,
208,EPIC 202072596,2MASS J06380257+2056215,EPIC 202072596.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h38m02.58s,99.510740,+20d56m21.5s,20.939310,3.97928700,2456772.894000,3.500000,0.2008333,0.8800,,,0.21670,37.500,3.346,,,,7430.00,,,,1.84,
209,EPIC 202072965,2MASS J06262389+2756442,EPIC 202072965.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h26m23.89s,96.599560,+27d56m44.2s,27.945600,2.14175190,2456772.766000,24.800000,0.2887500,0.6900,,,0.55710,86.200,7.690,,,,6492.00,,,,1.59,
211,EPIC 202083828,2MASS J06164957+2435470,EPIC 202083828.01,K2-26 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,0,1,06h16m49.58s,94.206580,+24d35m47.1s,24.596410,14.56620000,2456775.166400,,0.1979000,,,,4.59000,2.580,0.230,,,,3769.00,4.75,,,0.51,
212,EPIC 202086291,2MASS J06174792+2536092,EPIC 202086291.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h17m47.92s,94.449680,+25d36m09.3s,25.602570,2.43437340,2456774.131000,38.700000,0.3100000,0.5200,,,0.63930,61.400,5.478,,,,5568.00,,,,0.90,
213,EPIC 202086968,2MASS J06280135+1623198,EPIC 202086968.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h28m01.35s,97.005630,+16d23m19.9s,16.388850,1.84908760,2456772.183000,2.740000,0.1300000,0.9700,,,0.24480,17.300,1.543,,,,5693.00,,,,0.96,
214,EPIC 202088212,2MASS J06223391+1444303,EPIC 202088212.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h22m33.91s,95.641300,+14d44m30.4s,14.741770,2.62077000,2456769.677920,,0.0880000,,,,40.00000,58.000,5.200,,,,6302.00,4.23,,,1.40,
216,EPIC 202089657,2MASS J06054885+2329043,EPIC 202089657.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h05m48.85s,91.453550,+23d29m04.3s,23.484540,1.31440140,2456772.776000,0.042600,0.0704167,0.6500,,,0.01995,2.780,0.248,,,,6137.00,,,,1.23,
217,EPIC 202090152,2MASS J06441899+2806488,EPIC 202090152.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h44m19.00s,101.079150,+28d06m48.9s,28.113580,4.80452440,2456773.449000,0.067800,0.0970833,0.1200,,,0.02388,3.620,0.323,,,,6187.00,,,,1.28,
218,EPIC 202091388,2MASS J06052730+2115217,EPIC 202091388.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h05m27.31s,91.363780,+21d15m21.7s,21.256030,6.48041110,2456773.382000,0.121000,0.1225000,0.5600,,,0.03274,3.390,0.302,,,,5537.00,,,,0.89,
219,EPIC 202092480,2MASS J06521254+2520207,EPIC 202092480.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h52m12.54s,103.052270,+25d20m20.7s,25.339090,2.84453310,2456772.339000,26.500000,0.2370833,0.6800,,,0.57680,65.300,5.826,,,,6045.00,,,,1.16,
220,EPIC 202093020,2MASS J06330583+1652128,EPIC 202093020.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h33m05.84s,98.274320,+16d52m12.9s,16.870240,4.13760470,2456774.311000,0.911000,0.0729167,0.7400,,,0.09590,7.330,0.654,,,,4581.00,,,,0.70,
221,EPIC 202094740,2MASS J06415114+2705499,EPIC 202094740.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016arXiv160306488A target=ref>Adams et al. 2016</a>,CANDIDATE,,0,1,06h41m51.15s,100.463120,+27d05m49.9s,27.097200,0.68964700,2456775.197530,,,,78.000,3.100000,0.05580,6.580,0.587,,,,6481.00,4.00,0.000,[Fe/H],1.08,
222,EPIC 202126847,2MASS J06484831+1709428,EPIC 202126847.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,0,1,06h48m48.31s,102.201300,+17d09m42.9s,17.161910,4.16879220,2456774.070000,1.690000,0.2754167,0.9500,,,0.18020,16.100,1.436,,,,6005.00,,,,1.14,
225,EPIC 202126852,2MASS J06432353+2715082,EPIC 202126852.01,HAT-P-56 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,0,1,,,,,2.79096300,2456768.508990,,0.0958000,,,,8.41000,17.000,1.520,,,,6863.00,4.08,,,1.88,
232,EPIC 202565282,2MASS J16294225-2912062,EPIC 202565282.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h29m42.25s,247.426053,-29d12m06.2s,-29.201726,11.97495000,2456900.749710,,0.2827500,,,,76.00000,256.000,22.800,,,,5200.00,3.32,,,3.40,
233,EPIC 202634963,2MASS J16113549-2856046,EPIC 202634963.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,2,1,16h11m35.50s,242.897897,-28d56m04.7s,-28.934636,28.70762300,2456920.110000,3.570000,0.1504167,0.8200,,,0.21360,21.200,1.891,,,,5838.00,,,,1.03,
234,EPIC 202675839,2MASS J16152210-2846485,EPIC 202675839.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h15m22.10s,243.842095,-28d46m48.6s,-28.780161,15.47150000,2456898.834700,,0.1512000,,,,4.40000,9.200,0.820,,,,5791.00,4.00,,,1.89,
236,EPIC 202688980,2MASS J16165298-2843493,EPIC 202688980.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,16h16m52.99s,244.220774,-28d43m49.2s,-28.730322,1.45566370,2456896.637017,2.958000,2.5120000,,,,,,,,,,,,,,,
237,EPIC 202710713,2MASS J16161605-2838569,EPIC 202710713.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,16h16m16.06s,244.066902,-28d38m56.9s,-28.649133,3.32592848,2456898.702898,0.091000,4.6550000,,,,,,,,,,,,,,,
239,EPIC 202821899,2MASS J16363840-2814205,EPIC 202821899.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,2,1,16h36m38.40s,249.160014,-28d14m20.6s,-28.239061,4.47434650,2456895.689000,0.120000,0.0833333,0.4800,,,0.03229,3.060,0.273,,,,5248.00,,,,0.81,
240,EPIC 202843107,2MASS J16221147-2809426,EPIC 202843107.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,2,1,16h22m11.47s,245.547787,-28d09m42.6s,-28.161823,2.19890410,2456896.495000,32.400000,0.2845833,0.6000,,,0.60320,46.600,4.157,,,,4938.00,,,,0.75,
241,EPIC 202893157,2MASS J16261420-2758590,EPIC 202893157.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,2,1,16h26m14.20s,246.559179,-27d58m59.1s,-27.983086,4.16572920,2456894.444000,0.227000,0.1029167,0.8500,,,0.05024,1.860,0.166,,,,3442.00,,,,0.36,
243,EPIC 202900527,2MASS J16271467-2757252,EPIC 202900527.01,K2-51 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,1,16h27m14.68s,246.811150,-27d57m25.4s,-27.957049,13.01060000,2456905.753100,,0.2146000,,,,8.53000,12.900,1.150,,,,5452.00,4.17,,,1.37,
244,EPIC 203070421,2MASS J16414874-2721397,EPIC 203070421.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,2,1,16h41m48.75s,250.453119,-27d21m39.7s,-27.361034,1.73594470,2456895.707000,0.043000,0.1175000,0.9600,,,0.02551,1.890,0.169,,,,5354.00,,,,0.84,
