# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan  4 16:30:57 2017
#
# CONSTRAINT:  where (koi_pdisposition like 'CANDIDATE'
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec
470,6362874,K01128.01,Kepler-775 b,CONFIRMED,CANDIDATE,0.974868926,8.0000000e-07,-8.0000000e-07,0,,,MCMC,1.19,1.700e-01,-5.000e-02,87.09,,,1614.0,,,1605.87,663.66,-237.70,1,5487.00,100.00,-111.00,4.563,0.014,-0.125,0.8320,0.1220,-0.0320,291.433290,41.703442
471,6272413,K01129.01,Kepler-776 b,CONFIRMED,CANDIDATE,4.897187840,1.9690000e-05,-1.9690000e-05,0,,,MCMC,1.38,1.800e+00,-1.400e-01,89.95,,,904.0,,,157.93,803.00,-43.78,1,5093.00,172.00,-142.00,4.483,0.084,-0.691,0.8470,1.1080,-0.0850,287.272640,41.635559
476,3447722,K01198.01,Kepler-275 c,CONFIRMED,CANDIDATE,16.088318290,7.7820000e-05,-7.7820000e-05,0,,,MCMC,3.32,1.770e+00,-5.400e-01,89.38,,,881.0,,,142.11,238.36,-62.26,1,6535.00,211.00,-351.00,4.348,0.075,-0.314,1.2830,0.6870,-0.2090,292.479710,38.514919
477,3447722,K01198.02,Kepler-275 b,CONFIRMED,CANDIDATE,10.300655120,8.6490000e-05,-8.6490000e-05,0,,,MCMC,2.25,1.210e+00,-3.700e-01,88.24,,,1021.0,,,257.24,431.45,-112.70,3,6535.00,211.00,-351.00,4.348,0.075,-0.314,1.2830,0.6870,-0.2090,292.479710,38.514919
478,3447722,K01198.03,Kepler-275 d,CONFIRMED,CANDIDATE,35.675696300,4.3510000e-04,-4.3510000e-04,0,,,MCMC,3.08,1.660e+00,-5.000e-01,88.81,,,675.0,,,49.15,82.44,-21.53,2,6535.00,211.00,-351.00,4.348,0.075,-0.314,1.2830,0.6870,-0.2090,292.479710,38.514919
479,3447722,K01198.04,,CANDIDATE,CANDIDATE,1.008616770,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,292.479710,38.514919
481,2165002,K00999.01,Kepler-263 b,CONFIRMED,CANDIDATE,16.568059490,5.0770000e-05,-5.0770000e-05,0,,,MCMC,2.81,7.400e-01,-2.200e-01,89.38,,,594.0,,,29.37,24.07,-7.04,1,5265.00,177.00,-141.00,4.571,0.033,-0.155,0.7810,0.2050,-0.0620,292.469760,37.567791
482,2165002,K00999.02,Kepler-263 c,CONFIRMED,CANDIDATE,47.333026200,3.5480000e-04,-3.5480000e-04,0,,,MCMC,2.40,6.300e-01,-1.900e-01,89.95,,,418.0,,,7.24,5.93,-1.74,2,5265.00,177.00,-141.00,4.571,0.033,-0.155,0.7810,0.2050,-0.0620,292.469760,37.567791
484,1871056,K01001.01,Kepler-264 b,CONFIRMED,CANDIDATE,40.806849400,2.8810000e-04,-2.8810000e-04,0,,,MCMC,4.86,1.210e+00,-2.270e+00,85.94,,,844.0,,,119.96,89.63,-90.15,1,6231.00,180.00,-199.00,3.797,0.416,-0.140,2.3970,0.5960,-1.1220,292.044620,37.376240
485,8222813,K01069.02,Kepler-760 c,CONFIRMED,CANDIDATE,2.466974390,6.5800000e-06,-6.5800000e-06,0,,,MCMC,2.01,7.500e-01,-3.900e-01,88.81,,,1358.0,,,804.95,938.55,-336.04,2,5423.00,185.00,-149.00,4.303,0.179,-0.241,1.1190,0.4210,-0.2160,287.593200,44.179420
486,12105051,K00141.01,,CANDIDATE,CANDIDATE,2.624234598,4.0700000e-07,-4.0700000e-07,0,,,MCMC,5.14,8.400e-01,-1.900e-01,85.37,,,1153.0,,,417.70,190.00,-59.01,1,5377.00,97.00,-104.00,4.547,0.016,-0.149,0.8790,0.1440,-0.0320,288.038300,50.651611
487,8240904,K01070.01,Kepler-266 b,CONFIRMED,CANDIDATE,6.618341910,2.4760000e-05,-2.4760000e-05,0,,,MCMC,2.51,1.110e+00,-2.600e-01,89.38,,,990.0,,,226.65,304.00,-69.86,1,5888.00,176.00,-215.00,4.444,0.059,-0.298,1.0190,0.4510,-0.1060,294.484380,44.166908
488,8240904,K01070.02,Kepler-266 c,CONFIRMED,CANDIDATE,107.721574400,8.8820000e-04,-8.8820000e-04,0,,,MCMC,3.83,1.690e+00,-4.000e-01,89.95,,,390.0,,,5.49,7.37,-1.69,2,5888.00,176.00,-215.00,4.444,0.059,-0.298,1.0190,0.4510,-0.1060,294.484380,44.166908
489,8240904,K01070.03,,CANDIDATE,CANDIDATE,92.777790000,1.6530000e-02,-1.6530000e-02,0,,,MCMC,1.92,8.400e-01,-2.000e-01,89.95,,,410.0,,,6.70,8.99,-2.07,,5888.00,176.00,-215.00,4.444,0.059,-0.298,1.0190,0.4510,-0.1060,294.484380,44.166908
491,5735762,K00148.02,Kepler-48 c,CONFIRMED,CANDIDATE,9.673953474,5.6150000e-06,-5.6150000e-06,0,,,MCMC,2.61,3.200e-01,-9.000e-02,89.95,,,729.0,,,66.60,24.49,-8.84,1,5296.00,108.00,-96.00,4.558,0.015,-0.113,0.8520,0.1050,-0.0290,299.139220,40.949020
496,3962243,K01203.02,Kepler-276 b,CONFIRMED,CANDIDATE,14.128461780,7.1690000e-05,-7.1690000e-05,0,,,MCMC,2.64,1.160e+00,-2.500e-01,89.38,,,793.0,,,93.65,120.60,-27.54,2,6102.00,157.00,-224.00,4.457,0.047,-0.296,1.0260,0.4490,-0.0970,293.568150,39.036320
497,3962243,K01203.03,Kepler-276 d,CONFIRMED,CANDIDATE,48.647660100,7.8810000e-04,-7.8810000e-04,0,,,MCMC,2.58,1.120e+00,-2.500e-01,89.95,,,525.0,,,18.00,23.17,-5.30,3,6102.00,157.00,-224.00,4.457,0.047,-0.296,1.0260,0.4490,-0.0970,293.568150,39.036320
498,3438507,K01204.01,Kepler-788 b,CONFIRMED,CANDIDATE,8.398462690,5.7190000e-05,-5.7190000e-05,0,,,MCMC,2.16,1.020e+00,-2.000e-01,84.22,,,978.0,,,216.08,306.67,-60.89,1,6297.00,173.00,-213.00,4.448,0.047,-0.309,1.0310,0.4880,-0.0950,290.000400,38.539890
499,3869014,K01205.01,Kepler-789 b,CONFIRMED,CANDIDATE,8.638477250,3.0710000e-05,-3.0710000e-05,0,,,MCMC,2.10,8.800e-01,-2.000e-01,89.38,,,937.0,,,182.10,224.00,-51.48,1,6178.00,162.00,-201.00,4.467,0.049,-0.295,0.9880,0.4130,-0.0940,295.975160,38.946640
500,3756801,K01206.01,,CANDIDATE,CANDIDATE,422.917678000,9.3270000e-03,-9.3270000e-03,0,,,MCMC,5.89,2.640e+00,-1.620e+00,89.38,,,292.0,,,1.73,2.32,-0.92,,5796.00,162.00,-165.00,4.120,0.256,-0.224,1.4440,0.6480,-0.3970,293.954590,38.899971
501,1871056,K01001.02,Kepler-264 c,CONFIRMED,CANDIDATE,140.103940000,2.5390000e-03,-2.5390000e-03,0,,,MCMC,4.16,1.040e+00,-1.950e+00,89.38,,,559.0,,,23.16,17.31,-17.40,2,6231.00,180.00,-199.00,3.797,0.416,-0.140,2.3970,0.5960,-1.1220,292.044620,37.376240
502,1865042,K01002.01,Kepler-746 b,CONFIRMED,CANDIDATE,3.481592510,1.1150000e-05,-1.1150000e-05,0,,,MCMC,1.26,1.900e-01,-1.600e-01,88.81,,,1190.0,,,473.34,208.72,-131.06,1,5473.00,103.00,-91.00,4.349,0.115,-0.113,1.0610,0.1660,-0.1280,290.682250,37.355110
505,5780460,K01005.01,Kepler-747 b,CONFIRMED,CANDIDATE,35.617605870,5.3450000e-05,-5.3450000e-05,0,,,MCMC,5.26,1.610e+00,-5.400e-01,89.95,,,456.0,,,10.19,9.62,-2.77,1,5123.00,169.00,-131.00,4.523,0.071,-0.588,0.7790,0.2390,-0.0790,288.416500,41.029800
507,8229696,K01072.01,Kepler-761 b,CONFIRMED,CANDIDATE,10.128047890,2.9050000e-05,-2.9050000e-05,0,,,MCMC,2.24,8.400e-01,-2.700e-01,89.95,,,902.0,,,156.20,171.27,-49.92,1,6124.00,164.00,-191.00,4.414,0.083,-0.266,1.0070,0.3760,-0.1220,290.503600,44.143581
509,10272640,K01074.01,Kepler-762 b,CONFIRMED,CANDIDATE,3.770552098,9.4200000e-07,-9.4200000e-07,0,,,MCMC,13.01,6.570e+00,-1.450e+00,89.95,,,1321.0,,,720.53,1106.09,-234.40,1,6302.00,179.00,-244.00,4.388,0.073,-0.301,1.0980,0.5550,-0.1220,291.275630,47.329491
510,10232123,K01075.01,,CANDIDATE,CANDIDATE,1.343767300,2.2500000e-07,-2.2500000e-07,0,,,MCMC,18.74,5.130e+00,-8.810e+00,75.06,,,2651.0,,,11675.38,9754.60,-8852.84,1,6324.00,198.00,-232.00,3.800,0.434,-0.153,2.3120,0.6330,-1.0870,299.700780,47.291752
515,8346392,K01141.01,Kepler-777 b,CONFIRMED,CANDIDATE,5.728125990,2.0190000e-05,-2.0190000e-05,0,,,MCMC,1.51,2.300e-01,-2.400e-01,89.95,,,590.0,,,28.70,36.73,-10.96,1,4065.00,577.00,-137.00,4.697,0.095,-0.095,0.5700,0.0900,-0.0900,282.724060,44.346470
516,8288947,K01142.01,Kepler-778 b,CONFIRMED,CANDIDATE,3.755744260,1.0830000e-05,-1.0830000e-05,0,,,MCMC,1.72,4.600e-01,-1.300e-01,88.24,,,977.0,,,215.46,181.81,-49.93,1,5311.00,180.00,-145.00,4.588,0.026,-0.173,0.7880,0.2130,-0.0580,287.477420,44.237511
519,9480189,K00941.01,Kepler-257 c,CONFIRMED,CANDIDATE,6.581478842,5.0120000e-06,-5.0120000e-06,0,,,MCMC,4.77,3.470e+00,-6.900e-01,89.38,,,881.0,,,142.63,347.08,-50.40,1,5188.00,188.00,-154.00,4.400,0.131,-0.432,0.9730,0.7060,-0.1420,297.315980,46.023258
520,11974540,K00129.01,Kepler-470 b,CONFIRMED,CANDIDATE,24.669195690,5.4140000e-06,-5.4140000e-06,0,,,MCMC,12.30,7.460e+00,-2.230e+00,89.95,,,832.0,,,113.20,205.66,-47.71,1,6748.00,150.00,-245.00,4.249,0.111,-0.341,1.4090,0.8540,-0.2550,297.009430,50.372318
521,9480189,K00941.02,Kepler-257 b,CONFIRMED,CANDIDATE,2.382652169,3.2770000e-06,-3.2770000e-06,0,,,MCMC,2.67,1.940e+00,-3.900e-01,89.38,,,1237.0,,,553.53,1346.93,-195.62,3,5188.00,188.00,-154.00,4.400,0.131,-0.432,0.9730,0.7060,-0.1420,297.315980,46.023258
522,9480189,K00941.03,Kepler-257 d,CONFIRMED,CANDIDATE,24.664597110,3.9670000e-05,-3.9670000e-05,0,,,MCMC,5.67,4.110e+00,-8.300e-01,88.81,,,568.0,,,24.53,59.67,-8.67,2,5188.00,188.00,-154.00,4.400,0.131,-0.432,0.9730,0.7060,-0.1420,297.315980,46.023258
523,9512687,K00942.01,Kepler-735 b,CONFIRMED,CANDIDATE,11.515169880,1.5160000e-05,-1.5160000e-05,0,,,MCMC,2.98,5.500e-01,-1.800e-01,89.95,,,658.0,,,44.28,26.51,-9.29,1,5173.00,169.00,-140.00,4.586,0.021,-0.137,0.8030,0.1490,-0.0490,284.688870,46.172249
524,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,7.641571533,1.7870000e-06,-1.7870000e-06,0,,,MCMC,4.98,3.400e-01,-3.200e-01,89.95,,,899.0,,,154.25,36.54,-25.58,2,5356.00,109.00,-64.00,4.338,0.057,-0.042,1.0550,0.0720,-0.0680,298.079440,44.746319
526,1725016,K01007.01,Kepler-748 b,CONFIRMED,CANDIDATE,7.407427930,3.4340000e-05,-3.4340000e-05,0,,,MCMC,2.23,9.200e-01,-2.300e-01,89.95,,,938.0,,,183.15,228.85,-54.36,1,5922.00,179.00,-206.00,4.474,0.054,-0.289,0.9610,0.3970,-0.0960,292.262910,37.236992
531,5446285,K00142.01,Kepler-88 b,CONFIRMED,CANDIDATE,10.916108342,4.8750000e-06,-4.8750000e-06,0,,,MCMC,3.93,6.600e-01,-1.500e-01,87.09,,,758.0,,,78.19,34.99,-11.75,,5575.00,82.00,-116.00,4.521,0.019,-0.153,0.9320,0.1570,-0.0360,291.148070,40.669399
532,10166274,K01078.01,Kepler-267 b,CONFIRMED,CANDIDATE,3.353730333,4.0870000e-06,-4.0870000e-06,0,,,MCMC,2.12,2.800e-01,-2.700e-01,83.65,,,619.0,,,34.69,14.09,-10.16,1,3807.00,97.00,-69.00,4.784,0.083,-0.083,0.4700,0.0600,-0.0600,299.830410,47.157459
533,10166274,K01078.02,Kepler-267 c,CONFIRMED,CANDIDATE,6.877449897,9.6670000e-06,-9.6670000e-06,0,,,MCMC,2.02,2.500e-01,-2.600e-01,89.38,,,487.0,,,13.34,5.42,-3.91,2,3807.00,97.00,-69.00,4.784,0.083,-0.083,0.4700,0.0600,-0.0600,299.830410,47.157459
534,10166274,K01078.03,Kepler-267 d,CONFIRMED,CANDIDATE,28.464626220,8.8200000e-05,-8.8200000e-05,0,,,MCMC,2.01,2.600e-01,-2.500e-01,89.95,,,303.0,,,2.01,0.81,-0.59,3,3807.00,97.00,-69.00,4.784,0.083,-0.083,0.4700,0.0600,-0.0600,299.830410,47.157459
536,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE,42.896055050,9.6460000e-05,-9.6460000e-05,0,,,MCMC,2.02,2.500e-01,-7.000e-02,89.95,,,443.0,,,9.14,3.36,-1.22,3,5296.00,108.00,-96.00,4.558,0.015,-0.113,0.8520,0.1050,-0.0290,299.139220,40.949020
538,8313667,K01145.01,,CANDIDATE,CANDIDATE,30.587251150,7.9700000e-05,-7.9700000e-05,0,,,MCMC,2.28,8.900e-01,-2.100e-01,89.38,,,594.0,,,29.48,33.32,-7.93,1,6075.00,144.00,-185.00,4.495,0.043,-0.288,0.9520,0.3740,-0.0860,296.548610,44.264671
539,8351704,K01146.01,Kepler-779 b,CONFIRMED,CANDIDATE,7.097142230,2.9210000e-05,-2.9210000e-05,0,,,MCMC,0.83,1.200e-01,-1.300e-01,88.81,,,428.0,,,7.93,3.57,-2.53,1,3555.00,83.00,-52.00,4.846,0.091,-0.091,0.4000,0.0600,-0.0600,285.628540,44.310890
541,9513865,K00943.01,Kepler-736 b,CONFIRMED,CANDIDATE,3.601472010,5.4350000e-06,-5.4350000e-06,0,,,MCMC,2.90,8.400e-01,-1.900e-01,80.21,,,1003.0,,,239.14,210.04,-51.41,1,5335.00,169.00,-137.00,4.580,0.022,-0.194,0.8100,0.2330,-0.0540,285.391330,46.180939
542,9595686,K00944.01,,CANDIDATE,CANDIDATE,3.108250854,1.5600000e-06,-1.5600000e-06,0,,,MCMC,4.56,1.620e+00,-4.400e-01,80.21,,,1096.0,,,340.69,371.49,-91.31,1,5330.00,175.00,-139.00,4.495,0.069,-0.234,0.8470,0.3010,-0.0830,294.799740,46.207569
543,9605514,K00945.01,,CANDIDATE,CANDIDATE,25.847459600,1.9820000e-04,-1.9820000e-04,0,,,MCMC,2.57,1.080e+00,-2.400e-01,88.81,,,672.0,,,48.23,60.27,-13.71,2,6297.00,168.00,-212.00,4.448,0.049,-0.287,1.0310,0.4360,-0.0970,297.951600,46.264721
544,9605514,K00945.02,,CANDIDATE,CANDIDATE,40.715540300,1.8110000e-04,-1.8110000e-04,0,,,MCMC,2.97,1.250e+00,-2.800e-01,89.95,,,578.0,,,26.34,32.91,-7.49,1,6297.00,168.00,-212.00,4.448,0.049,-0.287,1.0310,0.4360,-0.0970,297.951600,46.264721
549,8125580,K01014.01,Kepler-749 b,CONFIRMED,CANDIDATE,17.317165850,4.6020000e-05,-4.6020000e-05,0,,,MCMC,2.10,1.100e-01,-1.400e-01,89.38,,,454.0,,,10.07,2.29,-2.43,1,4719.00,129.00,-152.00,4.753,0.053,-0.025,0.5020,0.0250,-0.0350,299.897220,43.903912
550,8158127,K01015.01,Kepler-750 b,CONFIRMED,CANDIDATE,9.428871790,2.4380000e-05,-2.4380000e-05,0,,,MCMC,2.95,1.670e+00,-3.700e-01,89.95,,,1018.0,,,253.39,434.44,-92.00,1,6495.00,169.00,-289.00,4.379,0.071,-0.327,1.1680,0.6600,-0.1470,289.096890,44.004379
552,10149023,K01081.01,,CANDIDATE,CANDIDATE,9.956370310,4.7350000e-05,-4.7350000e-05,0,,,MCMC,21.61,8.240e+00,-2.000e+00,72.77,,,901.0,,,155.78,173.00,-43.12,1,6140.00,156.00,-196.00,4.455,0.042,-0.263,1.0480,0.4000,-0.0970,294.768550,47.132790
553,10141900,K01082.01,,CANDIDATE,CANDIDATE,6.503237910,3.0520000e-05,-3.0520000e-05,0,,,MCMC,1.58,4.000e-01,-1.100e-01,89.95,,,808.0,,,100.57,80.55,-23.14,1,5258.00,177.00,-149.00,4.584,0.025,-0.166,0.7930,0.2030,-0.0560,292.144470,47.157349
554,10141900,K01082.02,,CANDIDATE,CANDIDATE,4.096667580,1.7380000e-05,-1.7380000e-05,0,,,MCMC,1.39,3.600e-01,-1.000e-01,89.95,,,943.0,,,186.70,149.53,-42.95,2,5258.00,177.00,-149.00,4.584,0.025,-0.166,0.7930,0.2030,-0.0560,292.144470,47.157349
555,10141900,K01082.03,Kepler-763 b,CONFIRMED,CANDIDATE,1.196551560,3.5630000e-06,-3.5630000e-06,0,,,MCMC,1.22,3.100e-01,-9.000e-02,88.24,,,1419.0,,,957.12,766.55,-220.21,3,5258.00,177.00,-149.00,4.584,0.025,-0.166,0.7930,0.2030,-0.0560,292.144470,47.157349
556,8410727,K01148.01,Kepler-270 b,CONFIRMED,CANDIDATE,11.476101300,4.9600000e-05,-4.9600000e-05,0,,,MCMC,1.83,1.080e+00,-3.300e-01,88.81,,,1001.0,,,237.05,421.66,-99.95,1,6432.00,157.00,-229.00,4.272,0.130,-0.319,1.3000,0.7650,-0.2370,282.200100,44.422298
557,8410727,K01148.02,Kepler-270 c,CONFIRMED,CANDIDATE,25.263026800,3.2820000e-04,-3.2820000e-04,0,,,MCMC,1.50,8.800e-01,-2.700e-01,88.24,,,769.0,,,82.82,147.30,-34.92,2,6432.00,157.00,-229.00,4.272,0.130,-0.319,1.3000,0.7650,-0.2370,282.200100,44.422298
559,8278371,K01150.01,Kepler-780 b,CONFIRMED,CANDIDATE,0.677375164,1.2460000e-06,-1.2460000e-06,0,,,MCMC,0.97,1.700e-01,-1.200e-01,88.24,,,2173.0,,,5267.01,2498.38,-1506.61,1,5735.00,107.00,-115.00,4.336,0.112,-0.125,1.0990,0.1870,-0.1320,281.766390,44.292549
560,8280511,K01151.01,Kepler-271 b,CONFIRMED,CANDIDATE,10.435478050,2.7000000e-05,-2.7000000e-05,0,,,MCMC,1.32,2.100e-01,-1.200e-01,89.38,,,778.0,,,86.68,41.56,-19.68,1,5516.00,122.00,-96.00,4.448,0.085,-0.118,0.8950,0.1470,-0.0800,283.002960,44.284229
561,8280511,K01151.02,Kepler-271 c,CONFIRMED,CANDIDATE,7.410862670,3.3050000e-05,-3.3050000e-05,0,,,MCMC,1.02,1.700e-01,-9.000e-02,88.81,,,872.0,,,136.61,65.50,-31.01,2,5516.00,122.00,-96.00,4.448,0.085,-0.118,0.8950,0.1470,-0.0800,283.002960,44.284229
562,9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,28.599153990,5.6730000e-05,-5.6730000e-05,0,,,MCMC,1.88,2.500e-01,-2.400e-01,89.95,,,295.0,,,1.80,0.64,-0.55,1,3750.00,56.00,-75.00,4.802,0.078,-0.078,0.4600,0.0600,-0.0600,291.862850,46.429260
563,9761882,K00948.01,Kepler-738 b,CONFIRMED,CANDIDATE,24.587215730,8.8020000e-05,-8.8020000e-05,0,,,MCMC,2.31,5.800e-01,-1.700e-01,89.95,,,531.0,,,18.74,14.32,-4.31,1,5465.00,167.00,-147.00,4.600,0.030,-0.150,0.7500,0.1880,-0.0550,287.569670,46.567860
564,5297298,K00130.01,,CANDIDATE,CANDIDATE,34.193598286,3.5370000e-06,-3.5370000e-06,0,,,MCMC,22.27,5.380e+00,-4.810e+00,89.38,,,778.0,,,86.74,58.81,-37.39,1,6129.00,132.00,-117.00,3.991,0.163,-0.125,1.7860,0.4310,-0.3860,297.360320,40.429810
565,9766437,K00949.01,Kepler-739 b,CONFIRMED,CANDIDATE,12.532484650,2.2950000e-05,-2.2950000e-05,0,,,MCMC,3.37,1.250e+00,-2.800e-01,88.24,,,775.0,,,85.15,91.71,-22.04,1,5997.00,155.00,-183.00,4.522,0.035,-0.273,0.9040,0.3340,-0.0760,290.067990,46.579140
566,9772531,K00950.01,,CANDIDATE,CANDIDATE,31.201687691,4.2860000e-06,-4.2860000e-06,0,,,MCMC,8.93,1.190e+00,-9.900e-01,89.95,,,286.0,,,1.59,0.59,-0.40,1,3750.00,61.00,-50.00,4.797,0.060,-0.080,0.4500,0.0600,-0.0500,292.657040,46.537338
567,9775938,K00951.01,Kepler-258 b,CONFIRMED,CANDIDATE,13.197214960,1.1700000e-05,-1.1700000e-05,0,,,MCMC,4.12,7.980e+00,-4.500e-01,89.95,,,641.0,,,40.03,352.92,-11.66,1,4954.00,163.00,-137.00,4.462,0.098,-0.808,0.8850,1.7140,-0.0970,294.068480,46.579330
568,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,14.858912687,3.7630000e-06,-3.7630000e-06,0,,,MCMC,5.96,4.100e-01,-3.800e-01,89.95,,,720.0,,,63.52,15.05,-10.53,1,5356.00,109.00,-64.00,4.338,0.057,-0.042,1.0550,0.0720,-0.0680,298.079440,44.746319
569,8158127,K01015.02,Kepler-750 c,CONFIRMED,CANDIDATE,4.088990220,1.9340000e-05,-1.9340000e-05,0,,,MCMC,1.58,8.900e-01,-2.000e-01,88.24,,,1344.0,,,770.59,1321.17,-279.78,2,6495.00,169.00,-289.00,4.379,0.071,-0.327,1.1680,0.6600,-0.1470,289.096890,44.004379
571,8174625,K01017.01,Kepler-751 b,CONFIRMED,CANDIDATE,17.444906360,4.2000000e-05,-4.2000000e-05,0,,,MCMC,2.81,1.070e+00,-3.600e-01,89.38,,,679.0,,,50.32,57.77,-15.75,1,5568.00,166.00,-145.00,4.413,0.106,-0.250,0.9660,0.3690,-0.1220,294.843840,44.077679
574,10157458,K01083.01,Kepler-764 b,CONFIRMED,CANDIDATE,7.336839360,3.7350000e-05,-3.7350000e-05,0,,,MCMC,1.59,7.000e-01,-1.300e-01,89.95,,,876.0,,,139.19,182.93,-33.57,1,5798.00,163.00,-159.00,4.552,0.031,-0.304,0.8470,0.3720,-0.0670,297.393190,47.164631
577,10118816,K01085.01,,CANDIDATE,CANDIDATE,7.717922960,4.2570000e-05,-4.2570000e-05,0,,,MCMC,0.92,1.300e-01,-1.200e-01,89.95,,,502.0,,,15.01,9.26,-4.72,1,3939.00,231.00,-86.00,4.738,0.087,-0.087,0.5200,0.0700,-0.0700,281.050110,47.188148
578,10122255,K01086.01,Kepler-765 b,CONFIRMED,CANDIDATE,27.665522600,1.2970000e-04,-1.2970000e-04,0,,,MCMC,2.29,8.200e-01,-3.000e-01,89.95,,,641.0,,,39.94,41.55,-13.08,1,6036.00,157.00,-173.00,4.396,0.097,-0.253,1.0170,0.3630,-0.1330,283.184600,47.155670
580,3835670,K00149.01,Kepler-473 b,CONFIRMED,CANDIDATE,14.557317050,1.3990000e-05,-1.3990000e-05,0,,,MCMC,5.04,1.110e+00,-1.140e+00,89.95,,,932.0,,,178.02,109.16,-78.54,1,5683.00,113.00,-98.00,4.026,0.189,-0.122,1.6240,0.3590,-0.3670,286.630100,38.945599
583,10295951,K01154.01,,CANDIDATE,CANDIDATE,6.810825021,4.9500000e-07,-4.9500000e-07,0,,,MCMC,26.08,9.170e+00,-8.620e+00,84.80,,,1627.0,,,1656.16,1762.37,-1037.45,1,7226.00,224.00,-322.00,3.967,0.246,-0.202,2.0790,0.7310,-0.6870,299.102810,47.377781
586,9775938,K00951.02,Kepler-258 c,CONFIRMED,CANDIDATE,33.652970100,1.0560000e-04,-1.0560000e-04,0,,,MCMC,3.72,7.190e+00,-4.100e-01,88.81,,,470.0,,,11.50,101.40,-3.35,2,4954.00,163.00,-137.00,4.462,0.098,-0.808,0.8850,1.7140,-0.0970,294.068480,46.579330
587,9787239,K00952.01,Kepler-32 b,CONFIRMED,CANDIDATE,5.901282819,6.2370000e-06,-6.2370000e-06,0,,,MCMC,2.09,2.500e-01,-2.500e-01,89.95,,,513.0,,,16.34,6.54,-4.53,1,3727.00,104.00,-64.00,4.756,0.078,-0.078,0.5000,0.0600,-0.0600,297.842410,46.574268
588,9787239,K00952.02,Kepler-32 c,CONFIRMED,CANDIDATE,8.752106450,1.4540000e-05,-1.4540000e-05,0,,,MCMC,2.20,2.600e-01,-2.700e-01,87.66,,,449.0,,,9.65,3.86,-2.68,2,3727.00,104.00,-64.00,4.756,0.078,-0.078,0.5000,0.0600,-0.0600,297.842410,46.574268
